orden;archivo_canonico;funcion;dimensiones;bytes;sha256;estado
1;BIOTECH_RSI_01_Banner_Principal_1140x380.png;Banner panoramico principal;1140x380;906462;3a0a9aa2c42a06b0084d506a253cfc00b61c768231e37d0922977473a41a1867;CANONICO_PUBLICADO
2;BIOTECH_RSI_02_Cabecera_Discord_1000x400.png;Cabecera de presentacion y acceso a Discord;1000x400;662892;9ed38d7feaa73382b82e30c24792e0ed5ba1377a9b62e2b8ffb5bad16117d56b;CANONICO_PUBLICADO
3;BIOTECH_RSI_03_Boton_Web_Oficial_600x160.png;Boton enlazable a la web oficial;600x160;24658;969081f44b6eb9ec8e431cf5b7d27b3f812d4ff5b28fea03a2c63ffe6a208d1d;CANONICO_PUBLICADO
4;BIOTECH_RSI_04_Historia_878x1862.png;Seccion Historia;878x1862;2008286;e031925855db29edf0cb1031121f86256e7a3d0d167fa41f0082aa3e33c326fe;CANONICO_PUBLICADO
5;BIOTECH_RSI_05_Manifiesto_878x1862.png;Seccion Manifiesto;878x1862;1849124;1676bb3a2c55029b47c775b24a6cc944877eaa06244ae1816a5724053fe87bbc;CANONICO_PUBLICADO
6;BIOTECH_RSI_06_Charter_878x1862.png;Seccion Charter y normas;878x1862;1540302;2b28d2703c96040a05bbbc7cf9095eadabb11cbc68838262d30fe79fd9910407;CANONICO_PUBLICADO
7;BIOTECH_RSI_07_Reclutamiento_Discord_1140x1555.png;Cierre de reclutamiento y acceso a Discord;1140x1555;2833137;71fd4dcdfcc82e90d6a2fb58050536a005c5a47d45f2e03380d3fb3cc0ef16a1;CANONICO_PUBLICADO
8;BIOTECH_RSI_08_Fondo_Lorville_1672x941.png;Fondo general de la pagina RSI;1672x941;2904155;19ed1be1dc5252a0f0c300632c5634b31df35ef19fcccfe7a25a2a3879e460e0;CANONICO_PUBLICADO
9;BIOTECH_RSI_09_Emblema_Oficial_Sin_Texto_1536x1024.png;Referencia oficial del emblema sin texto;1536x1024;1228436;68beb5ff5994422909ed38dc2ac4ac9016a2e3e9b73a099b00d98798fda9ec8a;CANONICO_OFICIAL
10;BIOTECH_RSI_10_Logo_Oficial_Con_Texto_1536x1024.png;Referencia oficial del logotipo con texto;1536x1024;1172853;9f1173254004f08247fed27f9d2b5ab56fd45e975356b1da478c78b839110c78;CANONICO_OFICIAL
